Bond_id,Coupon,Yield
692,5.78,3.387
693,5.8,3.1857
694,5.572,4.283
695,5.611,4.543
696,6.125,3.4579
697,6.15,3.0463
698,6.2,2.7743
699,0.60475,1.594
700,7.25,2.3791
701,6.8,3.807
702,5.75,3.1695
703,5.875,4.0772
704,7,3.4881
705,5.375,2.9758
706,5.5,2.9038
707,5.343,3.863
708,5.3,2.4539
709,5.383,4.887
710,6.086,3.017
711,5.64,2.3746
712,5.95,2.6632
713,6,4.21
714,5.27,3.633
715,6,3.2578
716,6.3,3.7832
717,6.15,3.207
718,6.5,2.4531
719,7.875,3.833
720,6.45,3.2082
721,6.193,3.236
722,6.25,2.8396
723,6,3.1282
724,6.125,3.0079
725,6.125,3.008
726,6.125,3.5574
727,5.5,2.1117
728,5.5,3.2774
729,7.5,3.2443
730,5.937,4.156
731,5.937,4.156
732,5.75,2.7752
733,5.95,3.617
734,5.375,2.9395
735,6.95,5.0298
736,6,3.1037
737,7.75,2.4738
738,5.25,1.679
739,6,3.928
740,7.125,3.3073
741,5.95,2.9779
742,6.35,2.2963
743,5.935,2.357
744,5.625,2.431
745,6.5,3.0169
746,6,2.3009
747,8.75,3.707
748,6.5,3.9221
749,7.75,3.377
750,7.875,3.0586
751,6.5,3.9754
752,6.95,3.1842
753,5.875,1.972
754,9,2.776
755,6,3.8642
756,6.5,2.658
757,7,2.3307
758,7.75,2.486
759,6.8,2.9779
760,9.5,3.4899
761,7.3,2.5157
762,7.5,2.777
763,7.125,2.209
764,7,2.567
765,7.25,2.6146
766,7.95,2.817
767,7.25,4.6912
768,6.8,2.9779
769,7.55,2.6902
770,8.25,2.4882
771,7.95,2.3769
772,2.85,0.998
773,8.1,2.2587
774,6.25,1.45
775,8.5,6.219
776,8.5,2.297
777,8.375,5.408
778,7.7,2.3981
779,2,1.999
780,8,2.5076
781,6.95,1.694
782,6.5,2.4138
783,7.75,2.7023
784,6.625,2.207
785,6.625,4.7116
786,6.75,2.3708
787,6.85,2.417
788,7.125,2.0584
789,6.375,3.8719
790,7,4.127
791,6.8,2.2718
792,5.95,1.8067
793,7.7,3.0826
794,6.55,2.0475
795,7.125,3.797
796,6.7,2.6096
797,6.7,1.8301
798,6.8,2.6899
799,6.5,2.3096
800,6.625,2.237
800,6.625,2.237
801,6.6,3.0011
802,7,2.1286
803,6.375,2.5392
804,6.625,3.8153
805,6.9,2.6378
806,6.625,3.027
807,7.05,2.6205
808,6.45,1.6347
809,6.625,2.0941
810,6.65,2.4263
811,8.9,4.4776
812,9.98,5.7073
813,7.25,2.2092
814,6.875,2.9446
815,7.1,2.3596
816,6.94,2.377
817,7,4.4312
818,6.95,4.1174
819,5.65,3.9751
820,7.125,1.9851
821,6.4,2.1311
822,7.125,1.8438
823,6.625,3.9938
824,6.375,1.6878
825,6.65,2.4628
826,6.65,2.463
827,6.875,2.2438
828,7.125,2.1006
829,7.62,2.3778
830,6.75,2.8111
831,7.3,2.6706
832,5.2,3.567
833,6.7,1.8714
834,6.5,2.4003
835,6.5,1.7274
836,6.375,1.7946
837,6.375,2.1178
838,6.75,1.6587
839,6.75,2.4003
840,6.75,1.8363
841,6.95,3.763
842,6.875,1.6301
843,7.5,3.248
844,7.125,2.5988
845,7.5,4.53
846,5.22,4.8733
847,7.25,4.1791
848,7.45,4.056
849,7.65,1.7885
850,7.2,1.6333
851,7.45,3.4353
852,7.125,2.0176
853,7.25,3.8924
854,7,1.8334
855,7.375,2.13
856,7.6,4.363
857,7.375,2.2577
858,7.45,4.1019
859,7.625,4.077
860,7.8,2.258
861,7.41,1.9759
862,7.75,4.2789
863,7.8,1.6553
864,7.9,4.26
865,7.7,5.9525
866,8.125,4.412
867,7.5,1.777
868,7.375,3.7467
869,7.375,2.3031
870,7.55,4.0386
871,7.6,2.5727
872,7.7,2.537
873,7.5,2.7517
874,7.7,10.3607
875,7.375,2.5603
876,7.7,2.537
877,7.125,3.8072
878,6.8,1.2685
879,7.75,4.2337
880,7.75,4.0281
881,7.375,1.938
882,6.77,2.7154
883,7.05,2.7184
884,7.5,4.8901
885,7.4,3.1319
886,7.5,3.3519
887,7.5,4.0775
888,6.875,4.0775
889,7.55,1.4081
890,7.875,3.9375
891,8.625,3.1289
892,8.75,3.1289
893,4.125,3.9607
894,6.25,6.1607
895,2.65,2.8201
896,4.375,3.823
897,4.5,4.6049
898,4,4
899,4,4
900,3.625,3.746
901,3.75,3.7498
902,2.125,2.357
903,2.8,2.9437
904,2.35,2.5717
905,3.05,3.2807
906,2.864,2.993
907,1.9,2.002
908,2.7,2.772
909,1.15,1.275
910,1.15,1.275
911,2.5,2.6105
912,2.5,2.611
913,2.625,2.714
914,2.625,2.714
915,3.875,4.042
916,3.875,4.0417
917,2.625,2.934
918,1.9,2.1008
919,2.25,2.402
920,7,6.5147
921,7,6.515
922,2.65,2.762
923,2.65,2.7616
924,3.875,3.796
925,3.875,3.796
926,3.375,3.655
927,3.375,3.2836
928,3.375,3.284
929,2.25,2.549
930,2.633,2.8371
931,1.75,2.0658
932,2.8,2.992
933,4.375,4.299
934,4.375,4.2985
935,6,6.2442
936,6,6.244
937,7.5,8.202
938,2.65,2.959
939,2.65,2.959
940,1.95,2.1956
941,2.4,2.7199
942,4.25,4.3916
943,3.5,3.639
944,5,4.412
945,5,4.4117
946,2.65,2.6887
947,2.65,2.688
948,4.125,4.471
949,4.125,4.4715
950,4.875,4.893
951,4.875,4.8933
952,4.5,4.2318
953,4.5,4.232
954,4,3.4793
955,4,3.479
956,3.75,3.5159
957,1.65,1.9503
958,1.65,1.95
959,6.125,5.8753
960,6.125,5.875
961,4,3.7243
962,6.125,5.5662
963,6.125,5.566
964,8,6.808
965,8,6.808
966,2.625,2.4552
967,4,2.8341
968,4,2.834
969,4.25,3.7566
970,4.25,3.757
971,2.95,2.717
972,2.7,2.4445
973,3,2.7446
974,3.125,2.7346
975,3.125,2.735
976,5.5,4.4056
977,6.875,6.085
978,6.875,6.0846
979,3.875,4.002
980,3.875,4.002
981,5,5.588
982,5,5.5881
983,3.95,2.1895
984,4.25,4.2491
985,4.25,4.249
986,4.25,3.7527
987,2.3,2.182
988,2,1.9186
989,2.95,2.8225
990,8.5,7.7104
991,8.5,7.71
992,2.25,2.0465
993,2.85,2.7489
994,4.875,2.3381
995,4.875,2.338
996,4.125,3.8177
997,4.125,3.799
998,3.625,3.1323
999,3.625,3.132
1000,3.027,2.8521
1001,6.125,5.0925
1002,6.125,5.093
1003,7,5.7377
1004,7,5.738
1005,2.4,2.3477
1006,3.875,3.1754
1007,3.875,3.175
1008,2.637,2.5511
1009,3.318,3.0131
1010,2.945,2.703
1011,4.5,4.9214
1012,4.5,4.921
1013,5.25,4.365
1014,4.375,4.0688
1015,4.375,4.069
1016,5.625,4.6768
1017,4.5,4.3154
1018,4.5,4.315
1019,3.196,2.8441
1020,3.375,3.144
1021,3.5,3.1414
1022,4.125,3.5814
1023,4.125,3.581
1024,4.75,4.012
1025,4.75,4.012
1026,3.75,3.2626
1027,3.75,3.143
1028,4,3.3117
1029,4,3.312
1030,2.55,2.4327
1031,6.875,5.5247
